Date,Item,Category,Units_Sold
13/06/2025,Laptop,ELECTRONICS,95
12/03/2025,Marker,STATIONERY,18
27/01/2025,Mouse,ELECTRONICS,5
08/01/2024,Headphones,ELECTRONICS,30
10/05/2025,Headphones,Electronics,92
16/06/2025,Rice,GROCERY,58
31/05/2025,T-Shirt,CLOTHING,98
10/02/2025,Apples,GROCERY,36
09/02/2025,Ruler,STATIONERY,14
24/01/2025,Bread,GROCERY,46
30/03/2024,T-Shirt,CLOTHING,94
28/04/2025,Mouse,ELECTRONICS,
22/05/2025,Socks,CLOTHING,74
19/02/2025,Laptop,ELECTRONICS,85
28/02/2025,Jeans,CLOTHING,30
26/01/2025,Pasta,GROCERY,59
12/06/2025,Jacket,CLOTHING,48
01/04/2025,Eraser,STATIONERY,90
24/06/2025,Tablet,Electronics,69
04/03/2025,Folder,STATIONERY,49
11/03/2025,Ruler,STATIONERY,
15/01/2025,Notebook,STATIONERY,41
13/04/2025,jeans,CLOTHING,28
26/05/2024,Shoes,CLOTHING,84
08/05/2025,Tomatoes,GROCERY,19
09/03/2025,Marker,STATIONERY,96
24/05/2023,Dress,CLOTHING,
13/04/2025,Shoes,CLOTHING,18
11/05/2025,Bread,GROCERY,97
13/01/2025,Tablet,ELECTRONICS,81
10/02/2025,Bread,grocery,50
08/04/2025,Pasta,GROCERY,71
03/01/2024,Monitor,ELECTRONICS,99
14/06/2025,Jeans,CLOTHING,38
22/04/2025,Folder,STATIONERY,1
09/03/2025,Pen,STATIONERY,81
18/03/2025,Pencil,Stationery,48
11/02/2025,Keyboard,ELECTRONICS,63
05/01/2025,Keyboard,ELECTRONICS,40
03/03/2025,Headphones,ELECTRONICS,73
21/01/2025,Printer,Electronics,9
17/05/2025,Pencil,STATIONERY,85
02/05/2025,Eraser,STATIONERY,68
05/06/2025,,GROCERY,70
26/06/2025,Eraser,STATIONERY,52
21/06/2025,Scarf,CLOTHING,67
26/04/2025,Headphones,ELECTRONICS,29
17/01/2025,T-Shirt,CLOTHING,
22/05/2025,Marker,STATIONERY,1
19/01/2025,Headphones,ELECTRONICS,9
